strain	seq_tech	virus	Genotype	accession	date	region	country	province	city
hChikV/Brazil/MS-FIOCRUZ-FMS683/2025|EPI_ISL_19780953	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19780953	2025-02-22	South America	Brazil	Mato Grosso do Sul	Maracaju
hChikV/Brazil/MS-FIOCRUZ-FMS684/2025|EPI_ISL_19780954	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19780954	2025-02-23	South America	Brazil	Mato Grosso do Sul	Maracaju
hChikV/Brazil/MS-FIOCRUZ-FMS685/2025|EPI_ISL_19780955	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19780955	2025-02-23	South America	Brazil	Mato Grosso do Sul	Maracaju
hChikV/Brazil/MS-FIOCRUZ-FMS686/2025|EPI_ISL_19780956	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19780956	2025-02-23	South America	Brazil	Mato Grosso do Sul	Maracaju
hChikV/Brazil/MS-FIOCRUZ-FMS687/2025|EPI_ISL_19780957	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19780957	2025-02-24	South America	Brazil	Mato Grosso do Sul	Dourados
hChikV/Brazil/MS-FIOCRUZ-FMS688/2025|EPI_ISL_19780958	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19780958	2025-02-20	South America	Brazil	Mato Grosso do Sul	Agua Clara
hChikV/Brazil/MS-FIOCRUZ-FMS689/2025|EPI_ISL_19780959	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19780959	2025-02-20	South America	Brazil	Mato Grosso do Sul	Agua Clara
hChikV/Brazil/MS-FIOCRUZ-FMS690/2025|EPI_ISL_19780960	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19780960	2025-02-19	South America	Brazil	Mato Grosso do Sul	Agua Clara
hChikV/Brazil/MS-FIOCRUZ-FMS691/2025|EPI_ISL_19780961	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19780961	2025-02-21	South America	Brazil	Mato Grosso do Sul	Gloria de Dourados
hChikV/Brazil/MS-FIOCRUZ-FMS692/2025|EPI_ISL_19780962	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19780962	2025-02-21	South America	Brazil	Mato Grosso do Sul	Gloria de Dourados
hChikV/Brazil/MS-FIOCRUZ-FMS693/2025|EPI_ISL_19780963	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19780963	2025-02-24	South America	Brazil	Mato Grosso do Sul	Terenos
hChikV/Brazil/MS-FIOCRUZ-FMS694/2025|EPI_ISL_19780964	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19780964	2025-02-21	South America	Brazil	Mato Grosso do Sul	Terenos
hChikV/Brazil/MS-FIOCRUZ-FMS695/2025|EPI_ISL_19780965	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19780965	2025-02-21	South America	Brazil	Mato Grosso do Sul	Terenos
hChikV/Brazil/MS-FIOCRUZ-FMS696/2025|EPI_ISL_19780966	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19780966	2025-02-24	South America	Brazil	Mato Grosso do Sul	Terenos
hChikV/Brazil/MS-FIOCRUZ-FMS697/2025|EPI_ISL_19780967	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19780967	2025-02-27	South America	Brazil	Mato Grosso do Sul	Maracaju
hChikV/Brazil/MS-FIOCRUZ-FMS698/2025|EPI_ISL_19780968	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19780968	2025-02-26	South America	Brazil	Mato Grosso do Sul	Vicentina
hChikV/Brazil/MS-FIOCRUZ-FMS699/2025|EPI_ISL_19780969	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19780969	2025-02-25	South America	Brazil	Mato Grosso do Sul	Dourados
hChikV/Brazil/MS-FIOCRUZ-FMS700/2025|EPI_ISL_19780970	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19780970	2025-02-25	South America	Brazil	Mato Grosso do Sul	Dourados
hChikV/Brazil/MS-FIOCRUZ-FMS701/2025|EPI_ISL_19780971	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19780971	2025-02-19	South America	Brazil	Mato Grosso do Sul	Bonito
hChikV/Brazil/MS-FIOCRUZ-FMS702/2025|EPI_ISL_19780972	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19780972	2025-02-25	South America	Brazil	Mato Grosso do Sul	Terenos
hChikV/Brazil/PR-LACENPR-415831573/2024|EPI_ISL_19784604	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19784604	2024-12-20	South America	Brazil	Parana	Cascavel
hChikV/Brazil/PR-LACENPR-415827670/2024|EPI_ISL_19784606	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19784606	2024-12-14	South America	Brazil	Parana	Cascavel
hChikV/Brazil/PR-LACENPR-415825403/2024|EPI_ISL_19784608	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19784608	2024-12-11	South America	Brazil	Parana	Cascavel
hChikV/Brazil/PR-LACENPR-415827692/2024|EPI_ISL_19784609	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19784609	2024-12-15	South America	Brazil	Parana	Cascavel
hChikV/Brazil/PR-LACENPR-415827668/2024|EPI_ISL_19784610	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19784610	2024-12-14	South America	Brazil	Parana	Cascavel
hChikV/Brazil/PR-LACENPR-415831575/2024|EPI_ISL_19784611	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19784611	2024-12-20	South America	Brazil	Parana	Cascavel
hChikV/Brazil/PR-LACENPR-415826370/2024|EPI_ISL_19784612	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19784612	2024-12-12	South America	Brazil	Parana	Cascavel
hChikV/Brazil/PR-LACENPR-415831880/2024|EPI_ISL_19784613	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19784613	2024-12-26	South America	Brazil	Parana	Claudia
hChikV/Brazil/PR-LACENPR-415855311/2024|EPI_ISL_19784615	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19784615	2024-11-11	South America	Brazil	Parana	Cascavel
hChikV/Brazil/PR-LACENPR-415831590/2024|EPI_ISL_19784616	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19784616	2024-12-21	South America	Brazil	Parana	Cascavel
hChikV/Brazil/PR-LACENPR-415831586/2024|EPI_ISL_19784617	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19784617	2024-12-20	South America	Brazil	Parana	Cascavel
hChikV/Brazil/PR-LACENPR-415855309/2024|EPI_ISL_19784618	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19784618	2024-11-07	South America	Brazil	Parana	Dois Vizinhos
hChikV/Thailand/MU-057/2019|EPI_ISL_19792989	MGI Tech	hChikV	II-ECSA	EPI_ISL_19792989	2019-12-18	Asia	Thailand	unknown	unknown
hChikV/Thailand/MU-058/2019|EPI_ISL_19792991	MGI Tech	hChikV	II-ECSA	EPI_ISL_19792991	2019-12-10	Asia	Thailand	unknown	unknown
hChikV/Brazil/MG-LACENMG-312306430/2025|EPI_ISL_19797833	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19797833	2025-01-30	South America	Brazil	Minas Gerais	Uberlandia
hChikV/Brazil/MG-LACENMG-312306442/2025|EPI_ISL_19797867	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19797867	2025-02-03	South America	Brazil	Minas Gerais	Belo Horizonte
hChikV/Brazil/ES-LACENES-321708642/2025|EPI_ISL_19797954	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19797954	2025-01-21	South America	Brazil	Espirito Santo	Vitoria
hChikV/Brazil/ES-LACENES-321708649/2025|EPI_ISL_19797955	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19797955	2025-01-23	South America	Brazil	Espirito Santo	Pedro Canario
hChikV/Brazil/ES-LACENES-321708651/2025|EPI_ISL_19797956	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19797956	2025-01-21	South America	Brazil	Espirito Santo	Vitoria
hChikV/Brazil/ES-LACENES-321708654/2025|EPI_ISL_19797958	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19797958	2025-01-15	South America	Brazil	Espirito Santo	Vitoria
hChikV/Brazil/ES-LACENES-321708656/2025|EPI_ISL_19797959	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19797959	2025-01-04	South America	Brazil	Espirito Santo	Vitoria
hChikV/Brazil/ES-LACENES-321708658/2025|EPI_ISL_19797960	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19797960	2025-01-16	South America	Brazil	Espirito Santo	Vitoria
hChikV/Brazil/ES-LACENES-321708663/2025|EPI_ISL_19797961	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19797961	2025-01-12	South America	Brazil	Espirito Santo	Vitoria
hChikV/Brazil/ES-LACENES-321708666/2024|EPI_ISL_19797962	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19797962	2024-12-31	South America	Brazil	Espirito Santo	Vitoria
hChikV/Brazil/ES-LACENES-321708669/2025|EPI_ISL_19797963	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19797963	2025-01-09	South America	Brazil	Espirito Santo	Vitoria
hChikV/Brazil/CE-LACENCE-232532392/2025|EPI_ISL_19829334	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19829334	2025-02-24	South America	Brazil	Ceara	unknown
hChikV/Brazil/BA-LACENBA-294308837/2025|EPI_ISL_19848682	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19848682	2025-01-17	South America	Brazil	Bahia	Jequie
hChikV/Brazil/BA-LACENBA-294308880/2025|EPI_ISL_19848683	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19848683	2025-02-17	South America	Brazil	Bahia	Caravelas
hChikV/Brazil/BA-LACENBA-294308892/2025|EPI_ISL_19848684	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19848684	2025-02-21	South America	Brazil	Bahia	Jequie
hChikV/Brazil/BA-LACENBA-294308913/2025|EPI_ISL_19848685	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19848685	2025-02-14	South America	Brazil	Bahia	Caravelas
hChikV/Brazil/BA-LACENBA-294308932/2025|EPI_ISL_19848686	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19848686	2025-01-22	South America	Brazil	Bahia	Jequie
hChikV/Brazil/BA-LACENBA-294308869/2024|EPI_ISL_19848729	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19848729	2024-12-19	South America	Brazil	Bahia	Jequie
hChikV/Brazil/BA-LACENBA-294308924/2024|EPI_ISL_19848730	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19848730	2024-12-20	South America	Brazil	Bahia	Jequie
hChikV/Reunion/CHU-S2b93/2024|EPI_ISL_19857293	Nanopore MinION	hChikV	II-ECSA	EPI_ISL_19857293	2024-09-15	Africa	Reunion	unknown	unknown
hChikV/Reunion/un-AMU-974/2024|EPI_ISL_19871956	Illumina	hChikV	II-ECSA	EPI_ISL_19871956	2024-12-23	Africa	Reunion	unknown	unknown
hChikV/Sri Lanka/AICBU_R1BC05/2025|EPI_ISL_19875896	MinION	hChikV	II-ECSA	EPI_ISL_19875896	2025-04-03	Asia	Sri Lanka	Colombo	unknown
hChikV/Brazil/RO-LACENRO-110699626/2025|EPI_ISL_19878016	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19878016	2025-02-18	South America	Brazil	Rondonia	Presidente medici
hChikV/Brazil/RO-LACENRO-110697661/2025|EPI_ISL_19878017	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19878017	2025-02-09	South America	Brazil	Rondonia	Vilhena
hChikV/Brazil/RO-LACENRO-110699617/2025|EPI_ISL_19878018	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19878018	2025-02-25	South America	Brazil	Rondonia	Vilhena
hChikV/Brazil/RO-LACENRO-110697613/2025|EPI_ISL_19878019	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19878019	2025-01-20	South America	Brazil	Rondonia	Alta floresta d'oeste
hChikV/Brazil/RO-LACENRO-110699609/2025|EPI_ISL_19878020	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19878020	2025-02-17	South America	Brazil	Rondonia	Vilhena
hChikV/Brazil/RO-LACENRO-110699618/2025|EPI_ISL_19878021	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19878021	2025-01-02	South America	Brazil	Rondonia	Vilhena
hChikV/Brazil/RO-LACENRO-110699612/2025|EPI_ISL_19878051	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19878051	2025-02-21	South America	Brazil	Rondonia	Vilhena
hChikV/Brazil/RO-LACENRO-110697647/2025|EPI_ISL_19878052	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19878052	2025-02-09	South America	Brazil	Rondonia	Vilhena
hChikV/Brazil/RO-LACENRO-110699604/2025|EPI_ISL_19878053	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19878053	2025-02-16	South America	Brazil	Rondonia	Vilhena
hChikV/Brazil/RO-LACENRO-110699624/2025|EPI_ISL_19878054	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19878054	2025-02-12	South America	Brazil	Rondonia	Presidente medici
hChikV/Brazil/RO-LACENRO-110697645/2025|EPI_ISL_19878055	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19878055	2025-02-25	South America	Brazil	Rondonia	Cabixi
hChikV/Brazil/RO-LACENRO-110697610/2025|EPI_ISL_19878056	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19878056	2025-01-30	South America	Brazil	Rondonia	Corumbiara
hChikV/Brazil/RO-LACENRO-110697646/2025|EPI_ISL_19878057	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19878057	2025-02-09	South America	Brazil	Rondonia	Vilhena
hChikV/Brazil/RO-LACENRO-110697658/2025|EPI_ISL_19878058	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19878058	2025-02-11	South America	Brazil	Rondonia	Vilhena
hChikV/Brazil/RO-LACENRO-110699606/2025|EPI_ISL_19878059	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19878059	2025-02-18	South America	Brazil	Rondonia	Vilhena
hChikV/Brazil/RO-LACENRO-110699622/2025|EPI_ISL_19878060	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19878060	2025-02-11	South America	Brazil	Rondonia	Presidente medici
hChikV/Brazil/RO-LACENRO-110697640/2025|EPI_ISL_19878061	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19878061	2025-02-17	South America	Brazil	Rondonia	Cerejeiras
hChikV/Brazil/RO-LACENRO-110697612/2025|EPI_ISL_19878062	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19878062	2025-01-30	South America	Brazil	Rondonia	Corumbiara
hChikV/Brazil/RO-LACENRO-110699621/2025|EPI_ISL_19878064	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19878064	2025-02-10	South America	Brazil	Rondonia	Presidente medici
hChikV/Brazil/RO-LACENRO-110697630/2025|EPI_ISL_19878065	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19878065	2025-02-04	South America	Brazil	Rondonia	Presidente medici
hChikV/Brazil/RO-LACENRO-110697622/2025|EPI_ISL_19878098	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19878098	2025-01-27	South America	Brazil	Rondonia	Vilhena
hChikV/Brazil/RO-LACENRO-110699603/2025|EPI_ISL_19878099	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19878099	2025-02-13	South America	Brazil	Rondonia	Vilhena
hChikV/Brazil/RO-LACENRO-110697619/2025|EPI_ISL_19878100	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19878100	2025-01-31	South America	Brazil	Rondonia	Cerejeiras
hChikV/Brazil/RO-LACENRO-110700831/2025|EPI_ISL_19878102	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19878102	2025-02-19	South America	Brazil	Rondonia	Porto velho
hChikV/Brazil/RO-LACENRO-110699610/2025|EPI_ISL_19878103	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19878103	2025-02-17	South America	Brazil	Rondonia	Vilhena
hChikV/Brazil/RO-LACENRO-110699625/2025|EPI_ISL_19878104	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19878104	2025-02-13	South America	Brazil	Rondonia	Presidente medici
hChikV/Brazil/RO-LACENRO-110699623/2025|EPI_ISL_19878105	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19878105	2025-02-11	South America	Brazil	Rondonia	Presidente medici
hChikV/Brazil/RO-LACENRO-110697651/2025|EPI_ISL_19878106	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19878106	2025-02-13	South America	Brazil	Rondonia	Vilhena
hChikV/Brazil/RO-LACENRO-110697602/2025|EPI_ISL_19878107	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19878107	2025-01-22	South America	Brazil	Rondonia	Cerejeiras
hChikV/Brazil/RO-LACENRO-110697638/2025|EPI_ISL_19878108	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19878108	2025-02-12	South America	Brazil	Rondonia	Cerejeiras
hChikV/Brazil/RO-LACENRO-110697635/2025|EPI_ISL_19878109	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19878109	2025-02-06	South America	Brazil	Rondonia	Presidente medici
hChikV/Brazil/RO-LACENRO-110700829/2025|EPI_ISL_19878110	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19878110	2025-02-10	South America	Brazil	Rondonia	Vilhena
hChikV/Brazil/RO-LACENRO-110697648/2025|EPI_ISL_19878111	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19878111	2025-02-09	South America	Brazil	Rondonia	Vilhena
hChikV/Brazil/RO-LACENRO-110699607/2025|EPI_ISL_19878112	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19878112	2025-02-17	South America	Brazil	Rondonia	Vilhena
hChikV/Brazil/RO-LACENRO-110699611/2025|EPI_ISL_19878113	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19878113	2025-02-19	South America	Brazil	Rondonia	Vilhena
hChikV/Brazil/RO-LACENRO-110697649/2025|EPI_ISL_19878114	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19878114	2025-02-06	South America	Brazil	Rondonia	Vilhena
hChikV/Brazil/RO-LACENRO-110697642/2025|EPI_ISL_19878115	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19878115	2025-02-27	South America	Brazil	Rondonia	Cerejeiras
hChikV/Brazil/RO-LACENRO-110699614/2025|EPI_ISL_19878116	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19878116	2025-02-21	South America	Brazil	Rondonia	Vilhena
hChikV/Brazil/RO-LACENRO-110699613/2025|EPI_ISL_19878117	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19878117	2025-02-21	South America	Brazil	Rondonia	Vilhena
hChikV/Brazil/RO-LACENRO-110697626/2025|EPI_ISL_19878118	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19878118	2025-02-26	South America	Brazil	Rondonia	Alto alegre dos parecis
hChikV/Brazil/RO-LACENRO-110699605/2025|EPI_ISL_19878119	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19878119	2025-02-16	South America	Brazil	Rondonia	Vilhena
hChikV/Brazil/RO-LACENRO-110697643/2025|EPI_ISL_19878120	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19878120	2025-02-28	South America	Brazil	Rondonia	Cerejeiras
hChikV/Brazil/MA-ECI-CX9MJNS/2022|EPI_ISL_19881887	Illumina	hChikV	II-ECSA	EPI_ISL_19881887	2022-04-27	South America	Brazil	Maranhao	unknown
hChikV/Brazil/ES-LACENES-321739253/2025|EPI_ISL_19882493	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19882493	2025-03-27	South America	Brazil	Espirito Santo	Jaguare
hChikV/Brazil/ES-LACENES-321739258/2025|EPI_ISL_19882494	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19882494	2025-03-24	South America	Brazil	Espirito Santo	Jaguare
hChikV/Brazil/ES-LACENES-321739261/2025|EPI_ISL_19882495	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19882495	2025-03-31	South America	Brazil	Espirito Santo	Jaguare
hChikV/Brazil/ES-LACENES-321739264/2025|EPI_ISL_19882496	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19882496	2025-03-20	South America	Brazil	Espirito Santo	Vitoria
hChikV/Brazil/ES-LACENES-321739265/2025|EPI_ISL_19882497	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19882497	2025-03-08	South America	Brazil	Espirito Santo	Vitoria
hChikV/Brazil/ES-LACENES-321739269/2025|EPI_ISL_19882498	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19882498	2025-03-11	South America	Brazil	Espirito Santo	Pedro Canario
hChikV/Brazil/ES-LACENES-321739273/2025|EPI_ISL_19882499	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19882499	2025-03-03	South America	Brazil	Espirito Santo	Cariacica
hChikV/Brazil/ES-LACENES-321739276/2025|EPI_ISL_19882500	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19882500	2025-03-28	South America	Brazil	Espirito Santo	Cariacica
hChikV/Brazil/ES-LACENES-321739282/2025|EPI_ISL_19882501	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19882501	2025-03-13	South America	Brazil	Espirito Santo	Jaguare
hChikV/Brazil/ES-LACENES-321739283/2025|EPI_ISL_19882502	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19882502	2025-04-14	South America	Brazil	Espirito Santo	Jaguare
hChikV/Brazil/ES-LACENES-321739287/2025|EPI_ISL_19882503	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19882503	2025-03-01	South America	Brazil	Espirito Santo	Cariacica
hChikV/Brazil/ES-LACENES-321739289/2025|EPI_ISL_19882504	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19882504	2025-03-26	South America	Brazil	Espirito Santo	Vila Valerio
hChikV/Brazil/ES-LACENES-321739290/2025|EPI_ISL_19882505	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19882505	2025-03-26	South America	Brazil	Espirito Santo	Vila Valerio
hChikV/Brazil/ES-LACENES-321739292/2025|EPI_ISL_19882506	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19882506	2025-03-10	South America	Brazil	Espirito Santo	Pedro Canario
hChikV/Brazil/ES-LACENES-321739293/2025|EPI_ISL_19882507	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19882507	2025-04-24	South America	Brazil	Espirito Santo	Jaguare
hChikV/Brazil/ES-LACENES-321739298/2025|EPI_ISL_19882508	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19882508	2025-03-27	South America	Brazil	Espirito Santo	Vitoria
hChikV/Brazil/ES-LACENES-321739300/2025|EPI_ISL_19882509	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19882509	2025-03-31	South America	Brazil	Espirito Santo	Jaguare
hChikV/Brazil/ES-LACENES-321739304/2025|EPI_ISL_19882510	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19882510	2025-03-20	South America	Brazil	Espirito Santo	Jaguare
hChikV/Brazil/ES-LACENES-321739306/2025|EPI_ISL_19882511	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19882511	2025-03-19	South America	Brazil	Espirito Santo	Cariacica
hChikV/Brazil/ES-LACENES-321739313/2025|EPI_ISL_19882512	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19882512	2025-03-17	South America	Brazil	Espirito Santo	Cariacica
hChikV/Brazil/ES-LACENES-321739314/2025|EPI_ISL_19882513	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19882513	2025-03-21	South America	Brazil	Espirito Santo	Cariacica
hChikV/Brazil/ES-LACENES-321739318/2025|EPI_ISL_19882514	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19882514	2025-04-07	South America	Brazil	Espirito Santo	Jaguare
hChikV/Brazil/ES-LACENES-321739320/2025|EPI_ISL_19882515	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19882515	2025-03-15	South America	Brazil	Espirito Santo	Cariacica
hChikV/Brazil/ES-LACENES-321739322/2025|EPI_ISL_19882516	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19882516	2025-03-19	South America	Brazil	Espirito Santo	Jaguare
hChikV/Brazil/ES-LACENES-321739324/2025|EPI_ISL_19882517	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19882517	2025-03-27	South America	Brazil	Espirito Santo	Serra
hChikV/Brazil/ES-LACENES-321739329/2025|EPI_ISL_19882518	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19882518	2025-04-03	South America	Brazil	Espirito Santo	Jaguare
hChikV/Brazil/ES-LACENES-321739334/2025|EPI_ISL_19882520	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19882520	2025-03-17	South America	Brazil	Espirito Santo	Jaguare
hChikV/Brazil/ES-LACENES-321739337/2025|EPI_ISL_19882521	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19882521	2025-03-08	South America	Brazil	Espirito Santo	Vitoria
hChikV/Brazil/ES-LACENES-321739339/2025|EPI_ISL_19882522	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19882522	2025-04-02	South America	Brazil	Espirito Santo	Serra
hChikV/Brazil/ES-LACENES-321739341/2025|EPI_ISL_19882523	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19882523	2025-03-11	South America	Brazil	Espirito Santo	Cariacica
hChikV/Brazil/ES-LACENES-321739345/2025|EPI_ISL_19882524	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19882524	2025-03-31	South America	Brazil	Espirito Santo	Jaguare
hChikV/Brazil/ES-LACENES-321739346/2025|EPI_ISL_19882525	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19882525	2025-04-16	South America	Brazil	Espirito Santo	Vila Valerio
hChikV/Brazil/ES-LACENES-321739347/2025|EPI_ISL_19882526	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19882526	2025-04-02	South America	Brazil	Espirito Santo	Jaguare
hChikV/Brazil/SC-LACENSC-422331935/2024|EPI_ISL_19882585	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19882585	2024-12-07	South America	Brazil	Santa Catarina	Balneario Camboriu
hChikV/Brazil/SC-LACENSC-422331940/2024|EPI_ISL_19882586	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19882586	2024-12-22	South America	Brazil	Santa Catarina	Balneario Camboriu
hChikV/Brazil/SC-LACENSC-422331946/2025|EPI_ISL_19882587	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19882587	2025-01-22	South America	Brazil	Santa Catarina	Sao Miguel Do Oeste
hChikV/Brazil/SC-LACENSC-422331952/2025|EPI_ISL_19882588	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19882588	2025-02-11	South America	Brazil	Santa Catarina	Xanxere
hChikV/Brazil/SC-LACENSC-422331956/2025|EPI_ISL_19882589	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19882589	2025-02-10	South America	Brazil	Santa Catarina	Itajai
hChikV/Brazil/SC-LACENSC-422331958/2025|EPI_ISL_19882590	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_19882590	2025-02-12	South America	Brazil	Santa Catarina	Sao Jose
